NR;SYMBOL;ISIN;Company Common Name; Company Market Capitalization ;TRBC Economic Sector Name;TRBC Economic Sector Code;Country ISO Code of Headquarters;Ccy
838;TRN.MI;IT0003242622;Terna Rete Elettrica Nazionale SpA; 11’385’119’879.24 ;Utilities;59;IT;EUR
839;DINO.N;US4039491000;HF Sinclair Corp; 8’857’698’021.36 ;Energy;50;US;USD
840;BOUY.PA;FR0000120503;Bouygues SA; 13’186’336’486.65 ;Industrials;52;FR;EUR
841;CCH.L;CH0198251305;Coca Cola HBC AG; 10’820’106’449.02 ;Consumer Non-Cyclicals;54;CH;GBp
842;ALB.N;US0126531013;Albemarle Corp; 8’185’287’556.95 ;Basic Materials;51;US;USD
843;BNRGn.DE;DE000A1DAHH0;Brenntag SE; 6’661’082’076.32 ;Basic Materials;51;DE;EUR
844;ICAG.MC;ES0177542018;International Consolidated Airlines Group SA; 15’636’142’974.38 ;Industrials;52;GB;EUR
845;SNA.N;US8330341012;Snap-On Inc; 8’090’003’055.69 ;Industrials;52;US;USD
846;SOON.S;CH0012549785;Sonova Holding AG; 10’661’660’859.87 ;Healthcare;56;CH;CHF
847;HEIO.AS;NL0000008977;Heineken Holding NV; 24’362’584’744.01 ;Consumer Non-Cyclicals;54;NL;EUR
848;BAER.S;CH0102484968;Julius Baer Gruppe AG; 7’962’167’233.49 ;Financials;55;CH;CHF
849;2802.T;JP3119600009;Ajinomoto Co Inc; 9’747’076’762.00 ;Consumer Non-Cyclicals;54;JP;JPY
850;RL.N;US7512121010;Ralph Lauren Corp; 8’322’130’895.54 ;Consumer Cyclicals;53;US;USD
851;TLS.AX;AU000000TLS2;Telstra Group Ltd; 22’495’832’854.27 ;Technology;57;AU;AUD
852;JBHT.OQ;US4456581077;J B Hunt Transport Services Inc; 10’157’765’278.00 ;Industrials;52;US;USD
853;SLG.N;US78440X8873;SL Green Realty Corp; 6’555’800’589.56 ;Real Estate;60;US;USD
854;UU.L;GB00B39J2M42;United Utilities Group PLC; 6’404’121’209.01 ;Utilities;59;GB;GBp
855;ALL.AX;AU000000ALL7;Aristocrat Leisure Ltd; 9’830’403’928.17 ;Consumer Cyclicals;53;AU;AUD
856;PSHG_p.DE;DE000PAH0038;Porsche Automobil Holding SE; 9’042’890’797.43 ;Consumer Cyclicals;53;DE;EUR
857;WU.N;US9598021098;Western Union Co; 7’554’289’364.84 ;Industrials;52;US;USD
858;NI.N;US65473P1057;NiSource Inc; 9’429’271’657.65 ;Utilities;59;US;USD
859;ATCOb.ST;SE0017486897;Atlas Copco AB; 27’796’892’044.19 ;Industrials;52;SE;SEK
860;IPG.N;US4606901001;Interpublic Group of Companies Inc; 7’929’171’445.00 ;Consumer Cyclicals;53;US;USD
861;5411.T;JP3386030005;JFE Holdings Inc; 9’791’114’339.23 ;Basic Materials;51;JP;JPY
862;QVCGA.OQ;US74915M6057;QVC Group Inc; 3’830’019’997.65 ;Consumer Cyclicals;53;US;USD
